YEAR,DESCRIPTION,Number of Aircraft
2013-14,ATR 42-320,4
2013-14,ATR 72-500,18
2013-14,Boeing 737-700,8
2013-14,Boeing 737-800,96
2013-14,Boeing 737-900,12
2013-14,Boeing 747-400,3
2013-14,Boeing 747-800,21
2013-14,Boeing 777- 300 ER,12
2013-14,Boeing 777-200LR,6
2013-14,Boeing 777-300,10
2013-14,Boeing 787,13
2013-14,Bombardier DHC-8-402,15
2013-14,CRJ-700,4
2013-14,Embraer and ERJ 170 -100 LR (VT-LNR),2
2013-14,Embraer and ERJ 190 -100 STD (VT-LBR),2
2013-14,Total,395
2014-15,Airbus 319,22
2014-15,Airbus 320,48
2014-15,Airbus 320-200,94
2014-15,Airbus 321,20
2014-15,Airbus 330-200/300,12
2014-15,ATR 42-320,4
2014-15,ATR 72-212A,2
2014-15,ATR 72-500/600,18
2014-15,Boeing 737-700,6
2014-15,Boeing 737-800,82
2014-15,Boeing 737-900,7
2014-15,Boeing 747-400,5
2014-15,Boeing 747-800,17
2014-15,Boeing 757-200,5
2014-15,Boeing 777- 300,22
2014-15,Boeing 777-200,3
2014-15,Boeing 787,19
2014-15,CRJ-700,4
2014-15,Embraer and ERJ 170 -100 LR (VT-LSR),2
2014-15,Embraer and ERJ 190 -100 STD (VT-LBR),2
2014-15,Q-400,15
2014-15,Total,409
2015-16,Airbus A319,23
2015-16,Airbus A320,167
2015-16,Airbus A321,20
2015-16,Airbus A330,12
2015-16,ATR 42-320,3
2015-16,ATR 72,27
2015-16,Boeing B737-700,8
2015-16,Boeing 737-800,103
2015-16,Boeing 737-900,10
2015-16,Boeing 747-400,5
2015-16,Boeing 757-200,5
2015-16,Boeing 777-200LR,3
2015-16,Boeing 777-300ER,22
2015-16,Boeing B787,21
2015-16,CRJ-700,3
2015-16,DH8,13
2015-16,Embraer and ERJ 190 -100 STD,2
2015-16,Embraer and ERJ 190 -100 LR,1
2015-16,Total,448
2016-17,737 - 700,2
2016-17,737 - 800,26
2016-17,737 - 900 ER,4
2016-17,777-200LR,3
2016-17,777-300ER,12
2016-17,A 320,0
2016-17,A 330- 200 / 300,9
2016-17,A319,0
2016-17,A-319,22
2016-17,A-320,26
2016-17,A320-200,131
2016-17,A-321,20
2016-17,AIRBUS A320,31
2016-17,Airbus Industrie,13
2016-17,ATR 42-320,2
2016-17,ATR 72 - 500 / 600,18
2016-17,ATR 72-212 A / VT-TMC,1
2016-17,ATR 72-212 A / VT-TMK,1
2016-17,ATR 72-212 A / VT-TMP,1
2016-17,ATR 72-212 A / VT-TMU,1
2016-17,ATR-72-212A,8
2016-17,B- 737 - 800,59
2016-17,B- 737 - 900,6
2016-17,B 777- 300 ER,10
2016-17,B-737 - 700,2
2016-17,B-787,23
2016-17,Boeing 737 - 700,3
2016-17,Boeing 737 - 800,5
2016-17,BOEING 747-400,5
2016-17,BOEING 757- 200,6
2016-17,Boeing B 737- 800,23
2016-17,CRJ-700,1
2016-17,DH8,17
2016-17,BOMBARDIER CRJ-200(CL-600-2B19),1
2016-17,BOEING 737- 400SF,1
2016-17,Total,493
