Year,Broad Gauge - Loaded,Broad Gauge - Total,Broad Gauge - %age of Loaded to Total,Metre Gauge - Loaded,Metre Gauge - Total,Metre Gauge - %age of Loaded to Total,Narrow Gauge - Loaded,Narrow Gauge - Total,Narrow Gauge - %age of Loaded to Total,Total All Gauges - Loaded,Total All Gauges - Total,Total All Gauges - %age of Loaded to Total
1991-92,"11,904","18,290",65.1,"1,384","1,976",70.1,15,26,55.6,"13,303","20,292",65.6
1992-93,"12,146","18,800",64.6,"1,272","1,934",65.8,14,25,54.1,"13,432","20,759",64.7
1993-94,"12,629","19,765",63.9,977,"1,538",63.5,12,23,52.2,"13,618","21,326",63.9
1994-95,"13,456","20,877",64.5,655,"1,108",59.2,9,17,52.1,"14,120","22,001",64.2
1995-96,"14,293","22,088",64.7,593,"1,005",59.0,7,13,52.6,"14,893","23,106",64.5
1996-97,"14,692","23,210",63.3,516,878,58.8,8,16,52.6,"15,216","24,104",63.1
1997-98,"15,115","24,684",61.2,292,536,54.5,8,14,55.3,"15,415","25,234",61.1
1998-99,"15,291","24,791",61.7,240,437,54.8,6,12,51.2,"15,537","25,240",61.6
1999-2000,"16,455","26,577",61.9,227,417,54.4,4,9,46.9,"16,686","27,003",61.8
2000-2001,"16,614","27,252",61.0,223,394,56.4,4,8,46.5,"16,841","27,654",60.9
2001-2002,"17,516","28,595",61.3,235,409,57.4,4,8,49.0," 17,754 ","29,012",61.2
2002-2003,"18,018","29,191",61.7,217,385,56.3,4,8,47.5," 18,239 ","29,584",61.7
2003-2004,"17,946","28,484",63.0,185,325,56.9,2,5,40.0," 18,133 ","28,814",62.9
2004-2005,"19,724","31,109",63.4,134,257,52.3,NA,NA,NA," 19,859 ",31366,63.3
2005-2006,"20,667","32,232",64.1,103,202,51.2,NA,NA,NA," 20,770 "," 32,434 ",64.0
2006-2007,"22,174","34,132",65.0,64,127,50.6,NA,NA,NA," 22,239 "," 34,259 ",64.9
2007-2008,"23,951","36,619",65.4,38,76,50.1,NA,NA,NA,"23,989"," 36,695 ",65.4
2008-2009*,"10,487","16,085",65.2,22,49,44.5,NA,NA,NA,"10,509"," 16,134 ",65.1
2009-2010*,"11,311","17,033",66.4,15,31,49.1,NA,NA,NA,"11,326"," 17,063 ",66.4
2010-2011*,"11,795","17,719",66.6,16,30,51.2,NA,NA,NA,"11,811"," 17,749 ",66.5
2011-2012*,"12,633","19,114",66.1,14,26,51.5,NA,NA,NA,"12,647"," 19,140 ",66.1
2012-2013*,"12,343#","18,889#",65.3#,12,23,52.3,NA,NA,NA,"12,355#"," 18,912# ",65.3#
2013-2014*,"12,712","19,522",65.1,13,24,52.4,NA,NA,NA,"12,725","19,546",65.1
