S. No.,Name of State Road Transport Undertaking (SRTU),Revenue/Km(Paise) - 2016-17,Revenue/Km(Paise) - 2015-16,Revenue/Bus/Day (Rs.) - 2016-17,Revenue/Bus/Day (Rs.) - 2015-16,Cost/KM (paise) - 2016-17,Cost/KM (paise) - 2015-16,Cost/Bus/Day (Rs.) - 2016-17,Cost/Bus/Day (Rs.) - 2015-16,Profit/Loss per Km (Paise) - 2016-17,Profit/Loss per Km (Paise) - 2015-16,Profit/Loss per Bus/Day (Rs.) - 2016-17,Profit/Loss per Bus/Day (Rs.) - 2015-16,Staff Cost as % of Total Cost - 2016-17,Staff Cost as % of Total Cost - 2015-16,Fuel and Lubricant Cost as % of Total Cost - 2016-17,Fuel and Lubricant Cost as % of Total Cost - 2015-16,Tyres and Tubes Cost as % of Total Cost - 2016-17,Tyres and Tubes Cost as % of Total Cost - 2015-16,Spares Cost as % of Total Cost - 2016-17,Spares Cost as % of Total Cost - 2015-16,Interest Cost as % of Total Cost - 2016-17,Interest Cost as % of Total Cost - 2015-16,Depreciation Cost as % of Total Cost - 2016-17,Depreciation Cost as % of Total Cost - 2015-16,Payments to Hired Buses as % of Total Cost - 2016-17,Payments to Hired Buses as % of Total Cost - 2015-16,Payment for accidents compensation as % of Total Cost - 2016-17,Payment for accidents compensation as % of Total Cost - 2015-16,Tax Cost as % of Total Cost - 2016-17,Tax Cost as % of Total Cost - 2015-16,Other Costs as % of Total Cost - 2016-17,Other Costs as % of Total Cost - 2015-16,Staff Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Staff Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2015-16,Fuel and Lubricant Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Fuel and Lubricant Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2015-16,Tyres and Tubes Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Tyres and Tubes Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2015-16,Spares Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Spares Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2015-16,Interest Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Interest Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2015-16,Depreciation Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Depreciation Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2015-16,Payments to Hired Buses per Revenue Earning Km ((Rs./Rev. Earning Kms) - 2016-17,Payments to Hired Buses per Revenue Earning Km (Rs./Rev. Earning Kms) - 2015-16,Payment for accidents compensation per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Payment for accidents compensation per Revenue Earning Km(Rs./Rev. Earning Kms) - 2015-16,Tax Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Tax Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2015-16,Other Costs per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Other Costs per Revenue Earning Km(Rs./Rev. Earning Kms) - 2015-16
11,Kerala SRTC,3225,3307,8688,8825,6293,5529,16953,14755,-3068,-2222,-8265,-5930,46.69,42.49,24.66,27.00,4.61,5.36,0.00,0.00,16.68,16.98,2.05,2.41,0.00,0.00,1.40,1.25,2.76,3.21,1.14,1.31,29.38,23.49,15.52,14.92,2.90,2.96,0.00,0.00,10.50,9.39,1.29,1.33,0.00,0.00,0.88,0.69,1.74,1.77,0.72,0.73
12,Maharashtra SRTC(P),3426,3497,10365,10870,3671,3555,11105,11050,-245,-58,-740,-180,41.62,42.57,32.86,30.94,1.93,2.02,1.34,1.44,0.03,0.02,4.05,4.75,0.14,0.25,1.03,0.95,13.06,13.90,3.92,3.15,15.28,15.13,12.06,11.00,0.71,0.72,0.49,0.51,0.01,0.01,1.49,1.69,0.05,0.09,0.38,0.34,4.79,4.94,1.44,1.12
13,Meghalaya STC,4596,4684,6942,5703,5105,6033,7712,7345,-509,-1349,-769,-1642,65.86,58.98,20.29,19.03,1.05,1.31,1.66,2.28,0.00,0.00,5.13,4.75,0.00,0.00,0.00,0.00,0.43,0.28,5.58,13.38,33.62,35.58,10.36,11.48,0.54,0.79,0.85,1.38,0.00,0.00,2.62,2.86,0.00,0.00,0.00,0.00,0.22,0.17,2.85,8.07
14,North Bengal STC,4579,4350,8938,8551,4959,4706,9680,9252,-380,-357,-742,-701,55.00,54.33,27.89,27.85,1.74,1.72,2.67,2.80,5.29,5.72,2.14,2.32,0.00,0.00,0.40,0.44,0.05,0.04,4.82,4.79,27.27,25.57,13.83,13.11,0.86,0.81,1.32,1.32,2.62,2.69,1.06,1.09,0.00,0.00,0.20,0.21,0.03,0.02,2.39,2.25
15,North Eastern Karnataka RTC,3131,3122,9494,9249,3274,3211,9928,9513,-143,-89,-435,-264,43.58,40.25,34.09,30.43,2.43,2.71,2.54,2.78,0.43,0.74,3.40,4.65,0.00,0.00,0.95,1.36,4.37,4.47,8.21,12.61,14.27,12.92,11.16,9.77,0.79,0.87,0.83,0.89,0.14,0.24,1.11,1.49,0.00,0.00,0.31,0.44,1.43,1.44,2.69,4.05
16,North Western Karnataka RTC,2973,2970,9930,10029,3177,3036,10612,10253,-204,-66,-682,-224,45.40,43.22,35.22,32.02,1.79,2.01,1.44,1.50,0.94,1.63,4.80,7.58,0.00,0.00,0.00,0.00,3.95,4.19,6.46,7.86,14.42,13.12,11.19,9.72,0.57,0.61,0.46,0.46,0.30,0.49,1.52,2.30,0.00,0.00,0.00,0.00,1.25,1.27,2.05,2.39
17,Odisha SRTC,2856,2699,5842,5331,2803,2548,5734,5031,53,151,108,299,26.36,27.06,46.70,45.20,3.95,4.72,4.63,4.82,1.16,1.32,7.04,8.56,0.00,0.00,0.00,0.00,6.10,6.14,4.05,2.19,7.39,6.89,13.09,11.52,1.11,1.20,1.30,1.23,0.33,0.34,1.97,2.18,0.00,0.00,0.00,0.00,1.71,1.57,1.14,0.56
18,Pepsu RTC,4008,3940,12967,12413,4195,4010,13570,12634,-186,-70,-603,-221,40.37,42.24,26.58,24.73,1.11,0.81,0.91,0.79,1.06,1.44,2.12,2.03,7.24,7.18,0.71,1.26,15.42,15.39,4.49,4.14,16.93,16.94,11.15,9.92,0.46,0.32,0.38,0.32,0.44,0.58,0.89,0.81,3.04,2.88,0.30,0.50,6.47,6.17,1.88,1.66
19,Rajasthan SRTC,3090,2893,10614,10330,4033,3771,13850,13465,-942,-878,-3236,-3136,49.69,50.74,26.66,25.81,0.65,1.24,1.41,1.11,3.71,4.05,2.70,3.02,1.98,0.86,1.53,1.17,9.53,9.76,2.14,2.24,20.04,19.13,10.75,9.73,0.26,0.47,0.57,0.42,1.50,1.53,1.09,1.14,0.80,0.32,0.62,0.44,3.84,3.68,0.86,0.84
20,South Bengal STC,3982,3811,7134,7058,5071,4726,9085,8753,-1089,-916,-1951,-1696,40.12,38.46,27.76,27.88,2.13,2.31,2.22,2.92,13.40,13.23,4.46,5.20,0.00,0.00,0.22,0.00,3.49,3.71,6.20,6.30,20.35,18.18,14.08,13.18,1.08,1.09,1.13,1.38,6.79,6.25,2.26,2.46,0.00,0.00,0.11,0.00,1.77,1.75,3.15,2.98
21,Telangana SRTC,3375,3541,11300,11561,3964,4169,13270,13609,-588,-627,-1970,-2048,43.10,46.43,21.21,18.87,1.13,1.43,2.73,2.50,2.71,2.68,2.21,2.37,10.69,7.88,0.75,0.91,5.38,5.01,10.09,11.91,17.08,19.35,8.41,7.87,0.45,0.60,1.08,1.04,1.08,1.12,0.88,0.99,4.24,3.29,0.30,0.38,2.13,2.09,4.00,4.96
22,Tripura RTC,154463,144646,10805,11383,156350,147569,10937,11613,-1887,-2923,-132,-230,88.34,85.65,4.03,5.39,0.66,0.78,1.07,1.67,0.00,0.00,1.05,1.29,0.14,0.18,0.00,0.00,0.35,0.41,4.35,4.63,1381.25,1263.98,63.08,79.59,10.25,11.53,16.79,24.67,0.00,0.00,16.42,18.96,2.17,2.63,0.00,0.00,5.50,6.05,68.04,68.28
23,Uttar Pradesh SRTC (P),2935,2858,10083,9688,2863,2844,9836,9642,72,13,247,45,35.84,37.88,27.01,26.50,1.35,1.80,2.40,2.56,0.30,0.56,4.45,4.27,16.07,14.37,0.00,0.00,11.54,11.05,1.03,1.01,10.26,10.77,7.73,7.54,0.39,0.51,0.69,0.73,0.09,0.16,1.27,1.21,4.60,4.09,0.00,0.00,3.30,3.14,0.30,0.29
24,Uttarakhand  TC,3508,3320,10809,10090,3647,3397,11236,10322,-139,-77,-427,-233,43.35,43.95,31.22,30.81,1.07,1.22,1.84,2.22,0.00,0.00,4.45,4.03,8.63,9.76,1.59,1.19,5.44,5.87,2.40,0.95,15.81,14.93,11.39,10.46,0.39,0.41,0.67,0.75,0.00,0.00,1.62,1.37,3.15,3.32,0.58,0.40,1.98,1.99,0.87,0.32
25,Puducherry Road Transport corp,2696,2575,9633,7503,2785,2925,9949,8520,-88,-349,-316,-1017,38.32,45.42,42.44,35.98,2.12,2.05,1.83,1.53,0.00,0.00,1.12,1.35,0.00,0.00,0.00,0.00,1.81,1.98,12.36,11.69,10.67,13.28,11.82,10.52,0.59,0.60,0.51,0.45,0.00,0.00,0.31,0.39,0.00,0.00,0.00,0.00,0.50,0.58,3.44,3.42
26,West Bengal Surface Transport Corp.,5000,47007,3652,41129,14003,11417,10228,9989,-9004,35590,-6576,31139,27.66,27.99,23.23,22.90,0.63,0.59,2.05,1.43,29.29,32.17,3.88,4.54,0.00,0.00,0.00,0.00,0.00,0.00,13.25,10.38,38.73,31.95,32.53,26.15,0.89,0.67,2.86,1.63,41.02,36.73,5.43,5.18,0.00,0.00,0.00,0.00,0.00,0.00,18.56,11.86
NA,TOTAL Corporations,3414,3435,10361,10378,4140,3984,12566,12035,-726,-549,-2205,-1658,41.65,41.22,26.29,25.34,1.57,1.84,2.12,2.19,10.52,9.94,3.64,4.18,2.73,3.26,0.63,0.66,6.55,6.48,4.29,4.90,17.24,16.42,10.88,10.09,0.65,0.73,0.88,0.87,4.36,3.96,1.51,1.66,1.13,1.30,0.26,0.26,2.71,2.58,1.78,1.95
27,Kadamba TC Ltd.,5587,5448,8635,8115,5705,5280,8817,7865,-118,168,-183,250,56.06,59.52,24.14,22.34,1.59,1.78,3.10,2.27,2.64,2.88,6.24,5.66,1.05,1.03,0.00,0.00,1.34,1.43,3.84,3.08,31.98,31.43,13.77,11.80,0.91,0.94,1.77,1.20,1.51,1.52,3.56,2.99,0.60,0.54,0.00,0.00,0.77,0.75,2.19,1.63
28,Metro TC (Chennai) Limited,4006,3691,9555,9329,5497,5104,13111,12901,-1491,-1413,-3556,-3572,49.46,47.18,22.02,21.65,1.21,1.57,2.54,3.17,6.02,4.83,2.28,1.57,0.00,0.00,2.19,1.73,0.60,0.58,13.69,17.69,27.19,24.08,12.11,11.05,0.66,0.80,1.39,1.62,3.31,2.47,1.25,0.80,0.00,0.00,1.20,0.89,0.33,0.30,7.52,9.03
29,PUNBUS,3622,3092,11211,9488,3591,3059,11115,9386,31,33,96,101,33.14,28.31,37.09,36.95,1.65,1.56,3.04,2.37,0.90,0.55,2.41,5.04,3.37,3.54,0.00,0.00,2.50,16.85,15.91,4.83,11.90,8.66,13.32,11.30,0.59,0.48,1.09,0.73,0.32,0.17,0.86,1.54,1.21,1.08,0.00,0.00,0.90,5.15,5.71,1.48
30,State Exp.TC TN Ltd.,2917,2837,15742,14859,3676,3539,19840,18540,-759,-703,-4098,-3681,36.24,37.52,28.54,27.62,1.40,1.52,1.62,1.84,9.77,9.71,4.00,4.47,0.00,0.00,0.00,0.00,6.27,7.27,12.17,10.05,13.32,13.28,10.49,9.78,0.51,0.54,0.59,0.65,3.59,3.44,1.47,1.58,0.00,0.00,0.00,0.00,2.31,2.57,4.47,3.56
31,TN STC (Coimbatore) Ltd.,2685,2479,10688,10177,3704,3305,14748,13567,-1020,-826,-4059,-3390,53.11,54.39,28.74,28.49,0.90,1.15,2.31,2.87,6.89,5.44,1.83,1.99,0.00,0.00,1.70,1.78,1.98,2.14,2.54,1.76,19.67,17.98,10.65,9.42,0.33,0.38,0.85,0.95,2.55,1.80,0.68,0.66,0.00,0.00,0.63,0.59,0.73,0.71,0.94,0.58
32,TN STC (Kumbakonam) Ltd.,2631,2471,12052,11303,3399,3080,15568,14090,-768,-609,-3517,-2787,50.98,51.70,28.91,28.44,1.68,2.14,0.93,1.00,5.60,4.71,1.77,2.10,0.00,0.00,2.89,2.43,3.26,3.56,3.97,3.92,17.33,15.92,9.83,8.76,0.57,0.66,0.32,0.31,1.90,1.45,0.60,0.65,0.00,0.00,0.98,0.75,1.11,1.10,1.35,1.21
33,TN STC (Madurai) Ltd.,2678,2527,11240,10515,3548,3211,14889,13359,-869,-683,-3649,-2844,51.76,52.37,29.46,28.83,1.64,1.90,1.14,1.47,5.06,4.05,1.94,2.59,0.00,0.00,2.89,2.37,1.64,1.80,4.46,4.61,18.36,16.81,10.45,9.26,0.58,0.61,0.41,0.47,1.80,1.30,0.69,0.83,0.00,0.00,1.03,0.76,0.58,0.58,1.58,1.48
34,TN STC (Salem) Ltd.,2461,2286,11490,10699,3268,2878,15254,13468,-806,-592,-3764,-2769,49.73,49.77,30.44,30.59,1.46,1.84,1.51,1.52,5.32,4.32,1.84,1.80,0.00,0.00,2.94,2.84,2.06,2.28,4.69,5.05,16.25,14.32,9.95,8.80,0.48,0.53,0.49,0.44,1.74,1.24,0.60,0.52,0.00,0.00,0.96,0.82,0.67,0.65,1.53,1.45
35,TN STC (Villupuram) Ltd.,2571,2395,12631,11769,3157,3002,15513,14749,-586,-607,-2882,-2981,5.58,518.00,31.63,29.46,1.10,1.32,2.06,2.26,3.65,3.41,1.86,2.19,0.00,0.00,1.96,1.52,2.05,2.17,4.14,4.35,16.28,16.01,9.99,8.84,0.35,0.40,0.65,0.68,1.15,1.02,0.59,0.66,0.00,0.00,0.62,0.46,0.65,0.65,1.31,1.30
36,TN STC ( Tirunelvell) Ltd.,2621,2425,10934,10137,3907,3601,16297,15051,-1285,-1176,-5362,-4914,48.27,50.05,27.79,26.61,1.50,1.90,1.19,1.23,11.12,10.08,1.65,1.33,0.00,0.00,2.01,2.32,1.99,2.17,4.48,4.31,18.86,18.02,10.85,9.58,0.59,0.68,0.46,0.44,4.35,3.63,0.65,0.48,0.00,0.00,0.79,0.83,0.78,0.78,1.75,1.55
NA,TOTAL Companies,2831,2633,11379,10679,3691,3376,14836,13692,-860,-743,-3457,-3013,49.30,49.75,28.63,27.85,1.36,1.66,1.78,2.01,5.98,5.13,2.11,2.29,0.14,0.14,2.08,1.84,2.26,2.97,6.38,6.38,18.19,16.79,10.57,9.40,0.50,0.56,0.66,0.68,2.21,1.73,0.78,0.77,0.05,0.05,0.77,0.62,0.83,1.00,2.35,2.15
37,Andaman and Nicobar ST,1259,1649,1364,1784,6519,5226,7066,5653,-5260,-3577,-5701,-3869,52.79,47.73,26.03,32.78,3.76,2.44,7.94,3.17,0.00,0.00,6.74,10.74,0.00,0.00,0.00,0.00,2.74,3.13,0.00,0.00,34.41,24.95,16.97,17.13,2.45,1.28,5.18,1.66,0.00,0.00,4.39,5.61,0.00,0.00,0.00,0.00,1.78,1.64,0.00,0.00
38,Arunachal Pradesh ST,2116,2989,2476,3595,11674,10925,13660,13141,-9559,-7936,-11184,-9546,49.48,47.01,24.01,24.14,0.02,0.03,26.49,28.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.77,51.36,28.02,26.38,0.02,0.03,30.93,31.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39,Chandigarh TU,3495,3572,7275,7823,5594,5374,11644,11769,-2099,-1802,-4368,-3946,41.14,40.95,24.82,22.29,1.17,1.00,5.20,4.74,0.44,0.48,5.00,5.47,0.00,0.00,0.00,0.00,4.66,5.33,17.56,19.74,23.01,22.00,13.89,11.98,0.65,0.54,2.91,2.55,0.25,0.26,2.80,2.94,0.00,0.00,0.00,0.00,2.61,2.87,9.82,10.61
40,Haryana ST,3121,3083,9492,9295,4419,4143,13443,12492,-1299,-1060,-3951,-3197,48.49,48.68,26.02,24.85,1.35,1.60,2.60,2.47,1.89,1.97,2.00,2.25,0.00,0.00,0.07,0.27,14.32,14.45,3.25,3.46,21.43,20.17,11.50,10.29,0.60,0.66,1.15,1.03,0.84,0.82,0.89,0.93,0.00,0.00,0.03,0.11,6.33,5.99,1.44,1.43
41,Mizoram ST,6248,6112,2093,3182,43646,43987,14618,22897,-37397,-37874,-12525,-19715,81.98,75.02,5.75,5.20,1.43,1.35,3.49,3.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.35,15.06,357.79,329.99,25.10,22.87,6.25,5.92,15.22,14.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.09,66.23
42,Nagaland ST,20,20,11,13,126,102,70,67,-106,-81,-59,-54,70.22,68.67,14.91,15.05,5.35,6.20,3.33,3.74,5.00,3.83,0.00,0.00,0.00,0.00,0.44,1.53,0.74,0.97,0.00,0.00,0.89,0.70,0.19,0.15,0.07,0.06,0.04,0.04,0.06,0.04,0.00,0.00,0.00,0.00,0.01,0.02,0.01,0.01,0.00,0.00
43,State Transport Punjab,5835,4334,9684,8334,6895,7478,11444,14378,-1061,-3143,-1760,-6044,76.38,76.12,14.17,13.53,0.14,0.00,0.25,0.00,1.10,1.09,0.14,0.09,0.85,1.24,0.00,0.00,5.43,5.70,1.54,2.23,52.67,56.92,9.77,10.12,0.10,0.00,0.17,0.00,0.76,0.82,0.10,0.07,0.58,0.92,0.00,0.00,3.74,4.26,1.06,1.67
44,Sikkim NT ,19834,20268,10182,8365,18235,24034,9361,9919,1600,-3766,821,-1554,74.64,77.94,19.75,17.66,0.57,0.94,3.73,3.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.32,0.37,0.00,0.02,136.10,187.33,36.01,42.45,1.04,2.26,6.79,7.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.41,0.88,0.00,0.04
NA,Total Govt Deptts.,3321,3197,8354,8201,4873,4613,12260,11832,-1553,-1416,-3906,-3631,51.31,51.48,24.47,23.33,1.23,1.35,3.59,3.26,1.54,1.60,2.08,2.35,0.08,0.12,0.05,0.20,11.58,11.75,4.07,4.56,25.01,23.75,11.92,10.76,0.60,0.62,1.75,1.50,0.75,0.74,1.01,1.08,0.04,0.06,0.03,0.09,5.64,5.42,1.98,2.10
45,Ahmedabad MTC ,2232,2247,3432,3598,8253,7012,12690,11227,-6021,-4765,-9258,-7629,48.07,45.92,4.46,7.39,0.29,0.58,1.39,1.70,1.69,1.77,0.00,0.00,24.47,22.00,0.00,0.00,3.62,2.10,16.01,18.54,39.68,32.19,3.68,5.18,0.24,0.40,1.15,1.19,1.39,1.24,0.00,0.00,20.19,15.42,0.00,0.00,2.99,1.47,13.22,13.00
46,BEST Undertaking,6061,6202,9234,9729,10693,10733,16290,16835,-4632,-4530,-7057,-7106,68.62,67.14,15.88,15.70,0.64,0.71,3.49,2.96,4.12,3.98,1.64,1.42,0.00,0.00,0.00,0.00,1.47,2.52,4.12,5.56,73.38,72.06,16.98,16.85,0.69,0.76,3.73,3.18,4.41,4.27,1.76,1.53,0.00,0.00,0.00,0.00,1.57,2.71,4.41,5.97
47,Kolahpur MTU,5320,4584,9775,8467,5804,5379,10664,9936,-484,-795,-889,-1469,44.35,53.33,29.90,25.88,1.09,1.63,1.82,1.24,0.00,0.00,14.93,16.30,0.76,0.00,0.00,0.00,1.62,1.49,5.53,0.14,25.74,28.68,17.36,13.92,0.63,0.88,1.06,0.67,0.00,0.00,8.66,8.77,0.44,0.00,0.00,0.00,0.94,0.80,3.21,0.07
48,Navi Mumbai MT,5087,4603,11257,8880,5722,5810,12662,11210,-635,-1208,-1405,-2330,44.04,45.30,23.80,31.04,1.35,1.33,2.67,2.39,0.45,0.65,5.35,6.20,0.00,0.00,0.00,0.00,2.63,2.30,19.72,10.80,25.20,26.32,13.62,18.04,0.77,0.77,1.53,1.39,0.25,0.38,3.06,3.60,0.00,0.00,0.00,0.00,1.51,1.34,11.28,6.27
