S. No.,Name of State Road Transport Undertaking (SRTU),Traffic Revenue (Lakh) - Revenue from Passengers - 2016-17,Traffic Revenue (Lakh) - Revenue from Passengers - 2015-16,Traffic Revenue (Lakh) - Others - 2016-17,Traffic Revenue (Lakh) - Others - 2015-16,Traffic Revenue (Lakh) - Total of Traffic Earnings - 2016-17,Traffic Revenue (Lakh) - Total of Traffic Earnings - 2015-16,Non-Traffic Revenue (Lakh) - Income from Advertisements - 2016-17,Non-Traffic Revenue (Lakh) - Income from Advertisements - 2015-16,Non-Traffic Revenue (Lakh) - Sale Proceeds from scraps - 2016-17,Non-Traffic Revenue (Lakh) - Sale Proceeds from scraps - 2015-16,Non-Traffic Revenue (Lakh) - Receipt from imposition of penalities/fines - 2016-17,Non-Traffic Revenue (Lakh) - Receipt from imposition of penalities/fines - 2015-16,Non-Traffic Revenue (Lakh) - Other Receipts - 2016-17,Non-Traffic Revenue (Lakh) - Other Receipts - 2015-16,Total Non-Traffic Revenue(Lakhs) - 2016-17,Total Non-Traffic Revenue(Lakhs) - 2015-16,Subsidies/ Reimbursements (Lakh) - Subsidies as reimbursement of fare concessions provided to passenger by SRTU - 2016-17,Subsidies/ Reimbursements (Lakh) - Subsidies as reimbursement of fare concessions provided to passenger by SRTU - 2015-16,"Subsidies/ Reimbursements (Lakh) - Any other form of subsidies (not as capital receipts) received from state government, treated as income - 2016-17","Subsidies/ Reimbursements (Lakh) - Any other form of subsidies (not as capital receipts) received from state government, treated as income - 2015-16",Subsidies/ Reimbursements (Lakh) - Total Subsidies/Reimbursements - 2016-17,Subsidies/ Reimbursements (Lakh) - Total Subsidies/Reimbursements - 2015-16,Total Reveunue (in lakh) - 2016-17,Total Reveunue (in lakh) - 2015-16,Staff Costs (Rs. Lakh) - 2016-17,Staff Costs (Rs. Lakh) - 2015-16,Fuel and Lubricants Cost (Rs. Lakh) - 2016-17,Fuel and Lubricants Cost (Rs. Lakh) - 2015-16, Cost of Tyers and Tubes  (Rs. Lakh) - 2016-17, Cost of Tyers and Tubes  (Rs. Lakh) - 2015-16,Cost of Spares (Rs. Lakh) - 2016-17,Cost of Spares (Rs. Lakh) - 2015-16,Interest (Rs. Lakh) - 2016-17,Interest (Rs. Lakh) - 2015-16,Depreciation (Rs. Lakh) - 2016-17,Depreciation (Rs. Lakh) - 2015-16,Payments to Hired Buses(Rs.  Lakh) - 2016-17,Payments to Hired Buses(Rs.  Lakh) - 2015-16,Payment for accidents compensation (In lakh) - 2016-17,Payment for accidents compensation (In lakh) - 2015-16,Other Cost (Rs. Lakh) - 2016-17,Other Cost (Rs. Lakh) - 2015-16,Taxes (Rs. Lakh) - M.V. Tax - 2016-17,Taxes (Rs. Lakh) - M.V. Tax - 2015-16,Taxes (Rs. Lakh) - Passenger Taxes - 2016-17,Taxes (Rs. Lakh) - Passenger Taxes - 2015-16,Taxes (Rs. Lakh) - GST - 2016-17,Taxes (Rs. Lakh) - GST - 2015-16,Taxes (Rs. Lakh) - Other Taxes - 2016-17,Taxes (Rs. Lakh) - Other Taxes - 2015-16,Taxes (Rs. Lakh) - Total Taxes - 2016-17,Taxes (Rs. Lakh) - Total Taxes - 2015-16,Other Cost(Misc)(Rs. Lakh) - 2016-17,Other Cost(Misc)(Rs. Lakh) - 2015-16,Total Cost (In lakh) - 2016-17,Total Cost (In lakh) - 2015-16
43,State Transport Punjab,8994.79,7740.27,0.00,0.00,8994.79,7740.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12389.00,6982.00,0.00,0.00,12389.00,6982.00,21383.79,14722.27,19301.51,19334.38,3581.54,3436.57,35.47,0.00,63.03,0.00,277.14,277.14,36.18,23.49,214.36,313.80,0.00,0.00,0.00,0.00,1372.14,1448.23,0.00,0.00,0.00,0.00,0.00,0.00,1372.00,1448.23,389.41,566.06,25270.64,25399.67
44,Sikkim NT ,1145.75,1757.94,0.00,0.00,1145.75,1757.94,0.00,0.00,0.89,0.90,0.00,0.00,3387.49,2088.12,3388.38,2089.02,0.00,0.00,0.00,0.00,0.00,0.00,4534.13,3846.96,3111.14,3555.60,823.10,805.77,23.74,42.88,155.29,140.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.46,16.73,0.00,0.00,0.00,0.00,42.70,0.00,55.16,16.73,0.00,0.70,4168.43,4561.68
NA,Total Govt Deptts.,157193.08,155046.29,705.90,700.39,157898.98,155746.68,188.18,190.99,6.90,22.90,0.00,0.00,16456.66,15296.59,16651.74,15510.48,12389.00,6982.00,187.14,187.14,12576.14,7169.14,187126.86,178426.30,140920.58,132525.68,67194.14,60069.73,3375.02,3470.27,9870.58,8384.49,4230.27,4131.67,5710.49,6052.79,214.36,313.80,147.32,508.66,58.06,129.76,2461.40,2498.91,17980.07,16944.42,0.00,0.00,11351.21,10796.79,31792.54,30240.12,11109.31,11612.03,274622.67,257439.00
45,Ahmedabad MTC ,10268.98,11189.27,0.00,0.00,10268.98,11189.27,193.93,806.67,48.17,202.95,0.00,0.00,888.71,840.81,1130.81,1850.43,0.00,0.00,0.00,0.00,0.00,0.00,11399.79,13039.70,20263.92,18683.08,1878.09,3008.79,121.14,234.65,585.69,693.04,710.98,721.50,0.00,0.00,10313.39,8950.63,0.00,0.00,0.00,0.00,14.68,702.10,1513.26,152.15,0.00,0.00,0.00,0.00,1527.94,854.25,6750.11,7544.64,42151.26,40690.58
46,BEST Undertaking,117891.08,134901.92,1510.91,1501.37,119401.99,136403.29,5890.10,5871.79,445.67,572.69,3815.89,2529.97,0.00,0.00,10151.66,8974.45,0.00,0.00,0.00,0.00,0.00,0.00,129553.65,145377.74,156851.18,168916.39,36303.94,39502.65,1465.22,1783.22,7983.44,7450.17,9418.80,10002.51,3756.09,3579.99,0.00,0.00,0.00,0.00,0.00,0.00,223.36,233.67,0.00,0.00,0.00,0.00,3139.04,6114.79,3362.40,6348.46,9422.90,13986.70,228563.97,251570.09
47,Kolhapur MTU,2792.90,2685.68,0.00,0.00,2792.90,2685.68,0.00,0.00,0.00,0.00,0.00,0.00,1008.83,985.23,1008.83,985.23,0.00,0.00,800.98,316.00,800.98,316.00,4602.71,3986.91,2227.07,2494.84,1501.54,1210.95,54.61,76.15,91.27,58.03,0.00,0.00,749.51,762.44,38.00,0.00,0.00,0.00,251.00,0.00,81.53,69.54,0.00,0.00,0.00,0.00,0.00,0.00,81.53,69.54,26.60,6.49,5021.13,4678.44
48,Navi Mumbai MT,11481.98,10483.08,0.00,0.00,11481.98,10483.08,648.14,388.02,0.00,0.00,0.00,0.00,0.00,0.00,648.14,388.02,3689.31,1283.45,0.00,0.00,3689.31,1283.45,15819.43,12154.55,7835.39,6950.41,4235.46,4762.99,239.43,203.48,475.89,365.97,79.18,99.31,951.52,951.52,0.00,0.00,0.00,0.00,0.00,0.00,12.42,12.47,0.00,0.00,0.00,0.00,455.89,340.76,468.31,353.23,3507.93,1656.43,17793.11,15343.34
49,Pune Mahamandal ,57677.91,60989.16,1363.26,923.73,59041.17,61912.89,983.44,829.84,155.92,212.32,2215.22,2077.29,9697.31,2320.73,13051.89,5440.18,0.00,0.00,0.00,9168.62,0.00,9168.62,72093.06,76521.69,50194.00,49486.43,9090.75,8981.97,2376.46,2735.73,0.00,0.00,412.43,382.96,1189.38,2859.04,26221.83,24638.24,202.02,390.14,3084.10,2745.61,65.81,49.02,20.43,20.28,91.70,156.12,164.61,398.50,342.55,623.92,23.99,11.74,93137.51,92855.78
50,Sholapur MT,1271.81,2018.79,135.18,164.97,1406.99,2183.76,14.06,0.85,0.28,1.30,1.50,1.65,1081.15,738.94,1096.99,742.75,186.00,135.96,0.00,0.00,186.00,135.96,2689.99,3062.48,1479.31,1315.40,1009.23,760.46,NA,NA,150.98,94.93,0.00,0.00,0.00,0.00,0.00,0.00,10.15,0.65,0.00,0.00,0.41,0.26,0.00,0.00,0.77,0.09,34.20,38.68,35.38,39.03,190.07,223.81,2875.12,2434.29
51,Thane MT,7285.80,7847.07,0.00,0.00,7285.80,7847.07,98.40,99.51,48.04,1.30,7.81,3.70,43.64,941.90,197.89,1046.41,0.00,0.00,0.00,0.00,0.00,0.00,7483.69,8893.48,7434.23,7396.63,2498.59,3198.51,88.84,143.62,947.01,758.85,0.00,0.00,0.00,0.00,0.00,0.00,104.67,225.08,1104.18,862.64,0.00,0.00,0.00,0.00,0.00,0.00,112.46,660.34,112.46,660.34,0.00,0.00,12289.98,13245.67
52,Kalyan Dombivali MT,2135.82,2356.03,0.00,0.00,2135.82,2356.03,0.00,0.00,0.00,0.00,0.00,0.00,39.73,421.68,39.73,421.68,2343.00,1571.20,0.00,0.00,2343.00,1571.20,4518.55,4348.91,1813.27,1685.36,1496.68,1328.46,41.11,51.72,7.39,1.05,2456.91,3361.17,0.00,0.00,0.00,0.00,1.82,71.76,0.00,0.00,130.06,8.31,0.00,0.00,0.00,0.00,6.41,1.46,136.47,9.77,0.00,0.00,5953.65,6509.29
NA,Total Muncipal undertakings,210806.28,232471.00,3009.35,2590.07,213815.63,235061.07,7828.07,7996.68,698.08,990.56,6040.42,4612.61,12759.37,6249.29,27325.94,19849.15,6218.31,2990.61,800.98,9484.62,7019.29,12475.23,248160.87,267385.46,248098.37,256928.54,58014.28,62754.78,4386.81,5228.57,10241.67,9422.04,13078.30,14567.45,6646.50,8152.99,36573.22,33588.87,318.66,687.63,4439.28,3608.25,528.27,1075.37,1533.69,172.43,92.47,156.21,3912.61,7554.53,6067.04,8958.54,19921.60,23429.81,407785.73,427327.48
53,HIMCHAHL PRADESH TDCL,6.93,6.74,1.09,0.13,8.02,6.87,0.00,0.00,0.00,12.45,0.05,0.24,5.57,6.13,5.62,18.82,5.09,3.35,0.00,0.00,5.09,3.35,18.73,29.04,386.72,376.76,201.15,195.98,14.98,12.33,7.87,7.88,0.00,0.00,15.56,25.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84.00,85.55,39.36,37.26,28.38,26.14,151.74,148.95,0.00,0.00,778.02,767.77
54,DELHI INTEGRATED MTS,25295.00,26104.00,2542.00,2259.00,27837.00,28363.00,444.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,444.00,0.00,2609.00,0.00,0.00,0.00,2609.00,0.00,30890.00,28363.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NA,Total Associate members,25301.93,26110.74,2543.09,2259.13,27845.02,28369.87,444.00,0.00,0.00,12.45,0.05,0.24,5.57,6.13,449.62,18.82,2614.09,3.35,0.00,0.00,2614.09,3.35,30908.73,28392.04,386.72,376.76,201.15,195.98,14.98,12.33,7.87,7.88,0.00,0.00,15.56,25.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84.00,85.55,39.36,37.26,28.38,26.14,151.74,148.95,0.00,0.00,778.02,767.77
55,MEERUT CIY TSL,1761.49,1765.26,0.00,0.00,1761.49,1765.26,12.84,11.58,0.00,0.00,0.00,0.00,0.00,0.00,12.84,11.58,0.00,0.00,0.00,0.00,0.00,0.00,1774.33,1776.84,405.98,385.01,970.15,913.08,454.24,421.20,0.00,0.00,0.00,0.00,0.00,32.04,0.00,0.00,0.00,0.00,31.01,56.01,45.92,12.36,0.00,0.00,1.63,1.63,0.17,0.17,47.72,14.16,0.00,0.00,1909.10,1821.50
56,KANPUR CITY TSL,1311.44,791.69,0.00,0.00,1311.44,791.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1311.44,791.69,176.98,103.90,5.66,18.73,81.74,141.77,166.54,203.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.31,17.00,49.88,31.71,0.00,0.00,0.98,0.59,64.17,49.30,0.00,0.00,495.09,517.42
NA,Total Special Purpose Vehicle,3072.93,2556.95,0.00,0.00,3072.93,2556.95,12.84,11.58,0.00,0.00,0.00,0.00,0.00,0.00,12.84,11.58,0.00,0.00,0.00,0.00,0.00,0.00,3085.77,2568.53,582.96,488.91,975.81,931.81,535.98,562.97,166.54,203.72,0.00,0.00,0.00,32.04,0.00,0.00,0.00,0.00,31.01,56.01,59.23,29.36,49.88,31.71,1.63,1.63,1.15,0.76,111.89,63.46,0.00,0.00,2404.19,2338.92
NA,Total (Reporting SRTUs),4448428.88,4420903.35,74262.30,82357.08,4522691.18,4503260.43,20087.81,17606.40,19364.20,13707.03,10095.87,9688.37,188816.02,204973.13,238363.90,245974.94,485173.80,446200.22,335965.74,279332.97,821139.54,725533.19,5582194.63,5474768.57,3110985.66,2931253.96,1811113.30,1652611.84,104396.22,115663.62,149263.01,145444.03,619882.36,547772.75,221574.63,238206.73,174478.34,188582.39,59166.47,54566.31,183100.04,209364.10,118164.58,112733.06,155085.00,151501.28,519.29,209.82,117805.22,112740.74,394141.56,379841.55,149769.79,137088.98,6977871.38,6600396.27
,,,,,,,,,,,,,,,,,,,,,,,,,,44.58359136,44.41027237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
