States/UTs,T-Junction - Total number of Accidents - Numbers,T-Junction - Total number of Accidents - Rank,T-Junction - Persons Killed - Numbers,T-Junction - Persons Killed - Rank,T-Junction - Persons Injured - Greviously Injured,T-Junction - Persons Injured - Minor Injury,T-Junction - Persons Injured - Total Injured,Y-Junction - Total number of Accidents,Y-Junction - Persons Killed,Y-Junction - Persons Injured - Greviously Injured,Y-Junction - Persons Injured - Minor Injury,Y-Junction - Persons Injured - Total Injured,Four arm Junction - Total number of Accidents,Four arm Junction - Persons Killed,Four arm Junction - Persons Injured - Greviously Injured,Four arm Junction - Persons Injured - Minor Injury,Four arm Junction - Persons Injured - Total Injured,Staggered Junction - Total number of Accidents,Staggered Junction - Persons Killed,Staggered Junction - Persons Injured - Greviously Injured,Staggered Junction - Persons Injured - Minor Injury,Staggered Junction - Persons Injured - Total Injured,Round about Junction - Total number of Accidents,Round about Junction - Persons Killed,Round about Junction - Persons Injured - Greviously Injured,Round about Junction - Persons Injured - Minor Injury,Round about Junction - Persons Injured - Total Injured,Others - Total number of Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured,Total - Total number of Accidents,Total - Persons Killed,Total - Persons Injured - Greviously Injured,Total - Persons Injured - Minor Injury,Total - Persons Injured - Total Injured
Kochi,411,11,19,36,323,102,425,90,8,68,13,81,250,7,174,69,243,144,11,79,41,120,10,0,5,4,9,1385,110,1048,328,1376,2290,155,1697,557,2254
Kolkata,485,8,22,34,235,142,377,286,6,142,107,249,223,28,106,76,182,133,3,67,59,126,91,4,53,27,80,1282,204,624,366,990,2500,267,1227,777,2004
Kollam,621,5,61,10,567,84,651,113,12,107,23,130,145,17,121,37,158,68,9,57,7,64,7,1,6,0,6,986,125,868,104,972,1940,225,1726,255,1981
Kota,47,41,7,42,6,37,43,19,3,3,12,15,34,1,10,21,31,0,0,0,0,0,41,4,8,32,40,643,210,86,598,684,784,225,113,700,813
Lucknow,250,18,115,4,102,41,143,136,62,46,32,78,146,83,45,16,61,0,0,0,0,0,54,24,19,14,33,1099,297,295,321,616,1685,581,507,424,931
Ludhiana,4,48,3,45,1,0,1,4,3,1,0,1,0,0,0,0,0,10,5,4,1,5,0,0,0,0,0,535,253,267,15,282,553,264,273,16,289
Madurai,52,38,8,41,29,32,61,11,3,4,8,12,56,10,22,33,55,2,2,0,0,0,5,1,4,1,5,740,169,-54,720,666,866,193,5,794,799
Mallapuram,240,19,30,24,197,47,244,134,21,90,40,130,48,7,31,11,42,0,0,0,0,0,17,1,15,5,20,2123,305,1722,668,2390,2562,364,2055,771,2826
Meerut,76,29,35,21,15,27,42,68,30,9,32,41,95,36,20,43,63,57,24,9,24,33,60,22,11,28,39,600,266,92,334,426,956,413,156,488,644
Mumbai,38,42,5,43,25,12,37,26,0,17,11,28,125,17,88,33,121,43,4,30,18,48,22,1,12,4,16,2618,420,1975,700,2675,2872,447,2147,778,2925
Nagpur,120,25,18,37,72,59,131,59,9,44,25,69,24,3,8,21,29,0,0,0,0,0,36,7,23,17,40,768,213,465,308,773,1007,250,612,430,1042
Nashik,80,28,23,33,56,24,80,6,2,4,0,4,86,23,53,31,84,2,2,0,0,0,17,4,15,1,16,362,123,257,99,356,553,177,385,155,540
Patna,55,36,25,31,35,3,38,35,16,25,2,27,25,6,25,0,25,24,8,20,0,20,0,0,0,0,0,385,137,188,16,204,524,192,293,21,314
Pune,237,20,49,13,133,42,175,110,24,66,17,83,100,29,47,15,62,0,0,0,0,0,0,0,0,0,0,344,104,217,89,306,791,206,463,163,626
Raipur,581,6,172,2,23,273,296,59,16,7,33,40,364,58,16,156,172,0,0,0,0,0,0,0,0,0,0,1142,212,29,1044,1073,2146,458,75,1506,1581
Rajkot,35,43,12,40,10,10,20,2,0,0,2,2,116,39,53,32,85,66,12,36,18,54,74,19,26,31,57,282,88,87,132,219,575,170,212,225,437
Srinagar,0,50,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,45,0,323,323,310,45,0,323,323
Surat,96,27,49,13,52,15,67,27,8,13,4,17,62,26,39,11,50,69,27,35,21,56,49,10,29,19,48,642,172,366,114,480,945,292,534,184,718
Thiruvanthapuram,261,17,26,28,246,56,302,137,13,119,29,148,162,15,149,36,185,123,18,108,22,130,26,1,31,7,38,1286,132,1109,272,1381,1995,205,1762,422,2184
Thrissur,413,10,39,17,317,180,497,237,22,181,86,267,143,5,94,69,163,115,14,82,52,134,12,0,11,7,18,1290,133,951,461,1412,2210,213,1636,855,2491
Tiruchirapalli,1,49,0,49,0,0,0,18,6,0,17,17,20,6,0,17,17,235,53,27,252,279,53,14,5,36,41,190,25,0,231,231,517,104,32,553,585
Vadodra,33,44,4,44,15,11,26,10,1,6,5,11,51,3,28,19,47,30,11,10,9,19,18,0,11,7,18,537,139,277,153,430,679,158,347,204,551
Varanasi,64,33,31,23,17,17,34,41,18,12,14,26,57,28,19,13,32,38,15,10,12,22,31,10,8,9,17,379,186,113,84,197,610,288,179,149,328
Vijaywada city,509,7,97,6,169,338,507,109,23,35,53,88,267,67,78,159,237,61,9,18,42,60,56,14,12,22,34,493,144,162,303,465,1495,354,474,917,1391
Vizaq,267,16,46,15,161,71,232,140,24,97,39,136,277,63,152,52,204,105,17,68,36,104,51,17,37,7,44,866,156,515,235,750,1706,323,1030,440,1470
Total,11478,NA,2083,NA,4639,5632,10271,5397,895,1785,3046,4831,8484,1593,2860,4470,7330,6700,1089,1768,4308,6076,4173,831,1173,2446,3619,46549,11307,19241,22752,41993,82781,17798,31466,42654,74120
