States/UTs,Over-Speeding - Number of Accidents - Number,Over-Speeding - Number of Accidents - Rank,Over-Speeding - Persons Killed - Number,Over-Speeding - Persons Killed - Rank,Over-Speeding - Persons Injured - Greviously Injured,Over-Speeding - Persons Injured - Minor Injury,Over-Speeding - Persons Injured - Total Injured,Drunken Driving/ Consumption of alcohol and drug  - Number of Accidents,Drunken Driving/ Consumption of alcohol and drug  - Persons Killed,Drunken Driving/ Consumption of alcohol and drug  - Persons Injured - Greviously Injured,Drunken Driving/ Consumption of alcohol and drug  - Persons Injured - Minor Injury,Drunken Driving/ Consumption of alcohol and drug  - Persons Injured - Total Injured,Driving on Wrong side - Number of Accidents,Driving on Wrong side - Persons Killed,Driving on Wrong side - Persons Injured - Greviously Injured,Driving on Wrong side - Persons Injured - Minor Injury,Driving on Wrong side - Persons Injured - Total Injured,Jumping Red Light - Number of Accidents,Jumping Red Light - Persons Killed,Jumping Red Light - Persons Injured - Greviously Injured,Jumping Red Light - Persons Injured - Minor Injury,Jumping Red Light - Persons Injured - Total Injured,Use of Mobile Phone - Number of Accidents,Use of Mobile Phone - Persons Killed,Use of Mobile Phone - Persons Injured - Greviously Injured,Use of Mobile Phone - Persons Injured - Minor Injury,Use of Mobile Phone - Persons Injured - Total Injured,Others - Number of Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured
Punjab,1211,22,905,19,598,231,829,1290,889,694,365,1059,1455,987,637,347,984,1079,846,587,159,746,1296,881,139,55,194,17,17,0,0,0
Rajasthan,19889,7,9050,3,5438,13343,18781,262,83,75,238,313,1130,478,339,800,1139,32,13,21,14,35,158,63,54,163,217,2009,876,774,1720,2494
Sikkim,77,30,32,31,57,40,97,19,7,8,11,19,19,3,9,52,61,0,0,0,0,0,0,0,0,0,0,47,31,60,81,141
Tamil Nadu,46878,1,8832,4,3136,52279,55415,1047,157,221,1025,1246,2325,402,273,2364,2637,1068,226,292,762,1054,1047,165,188,1045,1233,4863,743,766,4786,5552
Telangana,20669,5,6739,7,2584,18737,21321,246,68,9,206,215,119,23,5,135,140,32,2,0,19,19,7,1,0,6,6,497,131,280,18,298
Tripura,588,25,209,24,729,6,735,19,3,27,2,29,28,15,36,1,37,0,0,0,0,0,0,0,0,0,0,20,12,15,0,15
Uttarakhand,983,23,591,22,737,195,932,25,17,18,6,24,102,52,90,17,107,0,0,0,0,0,51,50,92,6,98,191,157,259,37,296
Uttar Pradesh,15934,8,8398,5,6613,3694,10307,4496,2224,1979,1091,3070,4988,2517,2240,1366,3606,874,297,388,292,680,4882,2699,2179,1126,3305,11398,6520,5104,2860,7964
West Bengal,3862,17,2050,17,3341,562,3903,8,3,6,0,6,114,44,137,21,158,18,10,15,0,15,14,4,10,3,13,6142,3389,4876,786,5662
Andaman and Nicobar Islands,40,34,3,35,17,21,38,41,1,12,24,36,6,0,6,2,8,0,0,0,0,0,0,0,0,0,0,143,16,39,86,125
Chandigarh,282,27,99,26,17,242,259,8,0,0,8,8,3,1,0,2,2,12,4,0,6,6,0,0,0,0,0,0,0,0,0,0
Dadra and Nagar Haveli,67,32,49,29,90,15,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman and Diu,61,33,27,32,42,24,66,4,0,2,2,4,2,1,1,0,1,0,0,0,0,0,2,0,3,0,3,0,0,0,0,0
Delhi,2448,20,713,20,287,1806,2093,215,45,29,173,202,369,69,42,417,459,371,100,51,269,320,199,53,15,158,173,2008,483,354,1551,1905
Lakshadweep,0,36,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
Puducherry,908,24,121,25,336,682,1018,6,0,3,6,9,132,19,60,111,171,17,0,10,15,25,0,0,0,0,0,329,7,215,181,396
Total,319028,NA,101723,NA,123176,203674,326850,12256,5325,5065,5499,10564,24431,9201,11165,13463,24628,4443,1797,2020,1986,4006,10522,4945,3951,4193,8144,78322,28122,38759,38410,77169
