States/UTs,Less than 5 years - Total Accidents - Number,Less than 5 years - Total Accidents - Rank,Less than 5 years - Persons Killed - Number,Less than 5 years - Persons Killed - Rank,Less than 5 years - Persons Injured - Greviously Injured,Less than 5 years - Persons Injured - Minor Injury,Less than 5 years - Persons Injured - Total Injured,5.1 - 10 Years - Total Accidents,5.1 - 10 Years - Persons Killed,5.1 - 10 Years - Persons Injured - Greviously Injured,5.1 - 10 Years - Persons Injured - Minor Injury,5.1 - 10 Years - Persons Injured - Total Injured,10.1 - 15 Years - Total Accidents,10.1 - 15 Years - Persons Killed,10.1 - 15 Years - Persons Injured - Greviously Injured,10.1 - 15 Years - Persons Injured - Minor Injury,10.1 - 15 Years - Persons Injured - Total Injured,Greater than 15 years - Total Accidents,Greater than 15 years - Persons Killed,Greater than 15 years - Persons Injured - Greviously Injured,Greater than 15 years - Persons Injured - Minor Injury,Greater than 15 years - Persons Injured - Total Injured,Age Not Known - Total Accidents,Age Not Known - Persons Killed,Age Not Known - Persons Injured - Greviously Injured,Age Not Known - Persons Injured - Minor Injury,Age Not Known - Persons Injured - Total Injured
Madhya Pradesh,17682,3,3875,5,2226,17019,19245,15130,3425,2581,13121,15702,6146,1154,768,5281,6049,5473,1087,714,4404,5118,6238,1708,1022,5680,6702
Maharashtra,11960,5,4208,3,6992,3457,10449,11027,4227,6636,3495,10131,5751,2296,3309,1714,5023,2248,918,1393,515,1908,1939,1139,822,295,1117
Manipur,195,26,41,26,77,221,298,199,43,116,213,329,110,29,37,154,191,97,31,13,117,130,71,12,41,66,107
Meghalaya,73,27,33,27,18,12,30,104,47,23,21,44,30,8,5,9,14,32,10,4,11,15,243,81,67,52,119
Mizoram,34,32,28,30,3,10,13,22,16,2,23,25,3,1,4,11,15,1,1,2,0,2,2,2,0,1,1
Nagaland,66,28,5,34,15,45,60,65,6,10,44,54,40,0,9,8,17,0,0,0,0,0,187,15,56,59,115
Orissa,3974,13,1861,12,2392,1779,4171,3157,1472,1669,1435,3104,1681,806,897,762,1659,1327,585,883,564,1447,925,609,474,322,796
Punjab,1516,19,1058,17,677,229,906,1144,1021,524,195,719,860,579,355,185,540,988,612,331,257,588,1840,1255,768,291,1059
Rajasthan,10471,6,4523,2,2964,7123,10087,7138,3293,1940,5229,7169,1977,874,625,1470,2095,1525,727,560,970,1530,2369,1146,612,1486,2098
Sikkim,64,30,29,28,64,55,119,53,19,46,65,111,10,9,10,14,24,14,6,1,42,43,21,10,13,8,21
Tamil Nadu,20205,1,3602,6,1553,22623,24176,15823,2597,1550,16578,18128,8927,1869,885,9774,10659,8603,1593,526,9718,10244,3670,864,362,3568,3930
Telangana,9582,7,3053,8,1371,8700,10071,5351,2054,877,4755,5632,2158,738,241,1991,2232,777,222,86,685,771,3702,897,303,2990,3293
Tripura,384,25,142,23,457,6,463,158,47,200,2,202,64,24,107,1,108,11,5,8,0,8,38,21,35,0,35
Uttarakhand,423,23,261,22,399,89,488,333,205,306,76,382,227,160,177,34,211,85,59,66,0,66,284,182,248,62,310
Uttar Pradesh,7912,9,3979,4,3660,2011,5671,7401,3996,3190,1797,4987,6613,3435,2855,1668,4523,13302,7187,5332,3171,8503,7344,4058,3466,1782,5248
West Bengal,3625,14,1916,11,3066,462,3528,3086,1482,2727,515,3242,889,484,749,124,873,1447,695,1348,215,1563,1111,923,495,56,551
Andaman and Nicobar Island,65,29,8,33,22,37,59,66,4,24,30,54,51,2,13,29,42,46,5,14,37,51,2,1,1,0,1
Chandigarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dadra and Nagar Haveli,17,34,11,31,15,0,15,15,12,18,0,18,23,17,32,15,47,4,2,16,0,16,9,7,9,0,9
Daman and Diu,29,33,9,32,15,13,28,28,11,28,2,30,1,0,0,0,0,0,0,0,0,0,11,8,5,11,16
Delhi,1200,21,274,21,189,919,1108,1123,287,169,778,947,632,147,92,585,677,540,126,50,559,609,2115,629,278,1533,1811
Lakshadweep,0,35,0,35,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,400,24,42,25,171,298,469,412,43,197,311,508,184,25,103,99,202,146,17,72,92,164,250,20,81,195,276
Total,155573,NA,48979,NA,64796,98104,162900,122251,39515,52992,74498,127490,55944,19081,22982,34353,57335,49475,18660,17766,27717,45483,65454,24774,25583,32295,57878
