States/Uts,Pedestrian - Male,Pedestrian - Female,Pedestrian - Total,Bicycles - Male,Bicycles - Female,Bicycles - Total,Two Wheelers - Male,Two Wheelers - Female,Two Wheelers - Total,Two Wheelers - Rank,Auto Rickshaws - Male,Auto Rickshaws - Female,Auto Rickshaws - Total,"Cars, taxies Vans andLMV - Male","Cars, taxies Vans andLMV - Female","Cars, taxies Vans andLMV - Total",Trucks/Lorries - Male,Trucks/Lorries - Female,Trucks/Lorries - Total,Buses - Male,Buses - Female,Buses - Total,Other non  Motor vehicles(E-Rickshaw) - Male,Other non  Motor vehicles(E-Rickshaw) - Female,Other non  Motor vehicles(E-Rickshaw) - Total,Others - Male,Others - Female,Others - Total
Kerala,975,282,1257,99,0,99,2110,252,2362,13,181,36,217,290,75,365,41,0,41,31,15,46,0,0,0,39,14,53
Madhya Pradesh,1272,297,1569,110,11,121,3946,528,4474,4,337,130,467,1342,289,1631,961,81,1042,382,77,459,298,49,347,999,140,1139
Maharashtra,2344,505,2849,170,12,182,5290,604,5894,2,377,80,457,1793,236,2029,607,20,627,208,38,246,5,0,5,455,44,499
Manipur,20,12,32,4,1,5,40,2,42,27,4,2,6,26,6,32,28,2,30,3,0,3,1,0,1,5,0,5
Meghalaya,12,7,19,0,0,0,9,7,16,30,5,1,6,25,11,36,15,2,17,14,0,14,10,15,25,21,25,46
Mizoram,13,0,13,0,0,0,11,0,11,33,1,0,1,3,1,4,5,0,5,0,0,0,0,0,0,14,0,14
Nagaland,2,0,2,0,0,0,5,0,5,34,1,0,1,8,0,8,5,0,5,0,0,0,0,0,0,5,0,5
Orissa,500,124,624,122,14,136,2192,206,2398,12,194,37,231,587,74,661,564,31,595,217,50,267,107,8,115,275,31,306
Punjab,300,151,451,99,91,190,1200,575,1775,14,205,168,373,405,369,774,301,69,370,115,95,210,214,151,365,17,0,17
Rajasthan,1174,269,1443,49,2,51,3312,342,3654,5,173,32,205,2193,320,2513,1065,55,1120,382,78,460,0,0,0,996,121,1117
Sikkim,3,1,4,0,0,0,2,0,2,35,0,0,0,48,7,55,8,1,9,0,0,0,3,0,3,0,0,0
Tamil Nadu,632,412,1044,199,31,230,2898,639,3537,6,230,66,296,2324,296,2620,1623,40,1663,1033,102,1135,0,0,0,0,0,0
Telangana,957,292,1249,69,2,71,2685,332,3017,9,371,87,458,664,118,782,532,82,614,182,26,208,0,0,0,500,65,565
Tripura,53,12,65,13,0,13,83,6,89,24,11,3,14,27,5,32,12,2,14,7,0,7,0,0,0,5,0,5
Uttarakhand,167,39,206,23,1,24,270,46,316,20,20,1,21,163,36,199,50,4,54,9,2,11,7,0,7,27,2,29
Uttar Pradesh,1425,347,1772,1150,303,1453,6374,1031,7405,1,1287,301,1588,3363,650,4013,1962,135,2097,1367,311,1678,1795,320,2115,443,91,534
West Bengal,2450,483,2933,324,28,352,973,57,1030,18,51,21,72,230,27,257,593,77,670,145,21,166,0,0,0,18,2,20
Andaman and Nicobar Island,6,0,6,0,0,0,11,2,13,31,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Chandigarh,25,11,36,8,2,10,41,5,46,26,5,2,7,3,0,3,1,0,1,0,0,0,1,0,1,0,0,0
Dadra and Nagar Haveli,11,4,15,3,0,3,25,3,28,28,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman and Diu,7,3,10,0,0,0,11,1,12,32,1,0,1,4,0,4,1,0,1,0,0,0,0,0,0,0,0,0
Delhi,288,76,364,65,2,67,443,47,490,19,45,6,51,202,31,233,59,3,62,25,2,27,82,8,90,72,7,79
Lakshadweep,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,36,13,49,6,0,6,62,6,68,25,0,0,0,11,1,12,1,0,1,5,0,5,0,0,0,6,0,6
Total,20671,5187,25858,3681,672,4353,51305,6960,58265,NA,5551,1528,7079,20335,3778,24113,12234,870,13104,5576,1167,6743,3012,609,3621,6952,1025,7977
