States/UTs,State/UT-Wise Total Number of Persons Killed in Road Accidents during - 2016,State/UT-Wise Total Number of Persons Killed in Road Accidents during - 2017,State/UT-Wise Total Number of Persons Killed in Road Accidents during - 2018,State/UT-Wise Total Number of Persons Killed in Road Accidents during - 2019 - Numbers,State/UT-Wise Total Number of Persons Killed in Road Accidents during - 2019 - Rank,Share of States/UTs in Total Number of Persons Killed in Road Accidents - 2016,Share of States/UTs in Total Number of Persons Killed in Road Accidents - 2017,Share of States/UTs in Total Number of Persons Killed in Road Accidents - 2018,Share of States/UTs in Total Number of Persons Killed in Road Accidents - 2019,Total Number of Persons Killed in Road Accidents Per Lakh Population - 2016,Total Number of Persons Killed in Road Accidents Per Lakh Population - 2017,Total Number of Persons Killed in Road Accidents Per Lakh Population - 2018,Total Number of Persons Killed in Road Accidents Per Lakh Population - 2019,"Total Number of Persons Killed in Road Accidents per 10,000 Vehicles - 2016","Total Number of Persons Killed in Road Accidents per 10,000 Vehicles - 2017","Total Number of Persons Killed in Road Accidents per 10,000 Vehicles - 2018","Total Number of Persons Killed in Road Accidents per 10,000 Vehicles - 2019","Total Number of Persons Killed in Road Accidents per 10,000 Km of Roads - 2016","Total Number of Persons Killed in Road Accidents per 10,000 Km of Roads - 2017","Total Number of Persons Killed in Road Accidents per 10,000 Km of Roads - 2018"
Jharkhand,3027,3256,3542,3801,17,2.007494114,2.201294004,2.339235357,2.515336205,8.995007726,9.557075347,10.2717281,10.89517585,12.22033913,9.617920999,8.811561206,8.303327251,453.241682,466.0048063,448.0012976
Karnataka,11133,10609,10990,10958,4,7.383360414,7.172459486,7.258101798,7.251527003,17.84878315,16.86323754,17.32482068,17.13901401,6.833513741,5.93631308,5.670281734,5.200623372,322.2142454,293.8444366,310.0098401
Kerala,4287,4131,4303,4440,16,2.843121,2.792857964,2.841820932,2.938198567,12.01614486,11.51562456,11.93222783,12.25131757,4.214587901,3.654773833,3.486659375,3.329587797,213.4876423,171.722546,167.376662
Madhya Pradesh,9646,10177,10706,11249,3,6.397188049,6.880395908,7.070540296,7.444098125,12.38651685,12.88815156,13.37547787,13.87035918,8.658077822,7.710507383,8.111299208,8.522698,332.6900073,297.0051223,294.1435613
Maharashtra,12935,12264,13261,12788,2,8.5784395,8.291360462,8.757933389,8.462541277,10.77234418,10.09307952,10.78779103,10.28586136,4.64121356,4.058627577,4.036424431,3.613228882,210.8677925,196.5471635,211.6608696
Manipur,81,136,134,156,26,0.053718871,0.091945941,0.088497329,0.103234004,3.125,5.192821688,5.064247921,5.836139169,2.646721496,3.997519187,4.351822082,4.309749427,32.69331131,49.25403675,45.92125054
Meghalaya,150,182,182,179,25,0.099479391,0.123045304,0.120197864,0.118454402,5.409304003,6.493043168,6.426553672,6.258741259,2.685914527,3.12121103,5.471610758,4.893330855,69.03900013,79.34219219,41.51870495
Mizoram,70,60,45,48,32,0.046423716,0.040564386,0.029719252,0.031764309,6.585136406,5.586592179,4.147465438,4.379562044,4.08661284,3.208110102,2.164720823,2.055084836,86.33469742,54.48565406,33.64645472
Nagaland,46,41,39,26,34,0.030507013,0.027718997,0.025756685,0.017205667,1.932773109,1.704781705,1.604938272,1.059494703,1.209367869,0.999566042,0.868206286,0.530950319,12.73747429,11.31393408,10.62582629
Odisha,4463,4790,5315,5333,12,2.959843486,3.238390135,3.510173891,3.529147062,10.50636785,11.18949729,12.32263748,12.27387802,7.650826102,7.30445375,7.159283759,6.44013913,154.9207327,157.737495,172.5785828
Punjab,5077,4463,4740,4525,15,3.367045794,3.017314232,3.130427891,2.994447864,17.43954383,15.19474329,16,15.1499933,5.60098565,4.534238786,4.896200548,4.285267157,468.4507594,319.9456269,332.3156342
Rajasthan,10465,10444,10320,10563,5,6.940345525,7.060907425,6.815615155,6.990133212,14.34583539,14.12802338,13.7813151,13.93021048,7.676741476,7.009131602,6.339064003,5.964444053,411.5563125,393.2240881,329.3024491
Sikkim,85,78,85,73,30,0.056371655,0.052733702,0.056136365,0.04830822,13.13755796,11.94486983,12.87878788,10.94452774,17.34516886,14.41614608,13.85628586,10.1713808,103.1187977,68.50409883,62.91746664
Tamil Nadu,17218,16157,12216,10525,6,11.41890772,10.92331303,8.067786312,6.964986467,24.81122831,23.17080166,17.43971905,14.96218583,7.113891847,6.188295622,4.35626083,3.487966169,659.6058424,618.0095724,452.432145
Telangana,7219,6596,6603,6964,10,4.7876115,4.459378148,4.360804929,4.608471806,NA,NA,NA,NA,8.288946307,6.70024169,6.02177689,5.741955655,584.1930314,522.9309171,515.5753292
Tripura,173,161,213,239,24,0.114732898,0.108847769,0.140671127,0.158159788,4.521693675,4.163434187,5.453149002,6.056766346,5.415015556,4.207093526,4.895088824,4.819918566,43.94760226,37.5068782,49.28838449
Uttarakhand,962,942,1047,867,22,0.637994495,0.636860857,0.691467933,0.573742828,9.048156509,8.753833287,9.616974373,7.874659401,5.094745316,4.407361885,4.221025302,3.149652067,157.6571815,135.0012359,198.1153609
Uttar Pradesh,19320,20124,22256,22655,1,12.81294558,13.605295,14.69848168,14.99209201,8.858809288,9.086599027,9.899078855,9.929783653,8.071400646,7.66183572,7.571403066,6.925581622,457.3734242,470.126106,510.0694566
West Bengal,6544,5769,5711,5500,11,4.339954239,3.900265697,3.771703309,3.639660387,6.995189738,6.115504484,6.004689356,5.736636245,10.08570849,7.748228377,6.659698724,5.640431516,206.6111273,179.1244592,173.5202456
Andaman and Nicobar Islands,17,21,19,20,35,0.011274331,0.014197535,0.012548129,0.013235129,3.085299456,3.730017762,3.304347826,3.401360544,1.52975371,1.727556166,1.448844356,1.417926849,113.8799571,129.8800898,105.8983131
Chandigarh,151,107,98,104,29,0.100142587,0.072339821,0.064721927,0.068822669,8.483146067,5.755782679,5.048943843,5.128205128,1.804197926,1.212067663,1.030723989,1.028399652,535.2768728,379.3250142,385.9331312
Dadra and Nagar Haveli,46,43,54,49,31,0.030507013,0.029071143,0.035663103,0.032426065,10.90047393,9.839816934,11.94690265,10.47008547,4.367558535,3.86294626,4.594727975,3.966904681,405.7421332,362.3099874,454.9172767
Daman and Diu,38,36,35,28,33,0.025201446,0.024338631,0.023114974,0.01852918,11.51515152,10.46511628,9.749303621,7.486631016,3.600974158,3.098666713,NA,NA,766.7319061,844.4737404,955.5531288
Delhi,1591,1584,1690,1463,19,1.055144743,1.070899786,1.116123024,0.968149663,7.474747475,7.234198027,7.503440927,6.315834916,1.639404905,1.543851825,1.581452426,1.284285169,902.7006693,885.7914521,960.4266158
Lakshadweep,1,0,1,0,36,0.000663196,0,0.000660428,0,1.234567901,0,1.204819277,0,0.624687656,0,0.552883286,0,47.81028877,0,44.55533773
Puducherry,244,233,226,147,27,0.16181981,0.157525032,0.149256688,0.097278196,14.61953265,13.44489325,12.56952169,7.869379015,2.826321392,2.504482271,2.264844502,1.383452589,768.8497378,718.6509349,526.4562922
Total ,150785,147913,151417,151113,NA,100,100,100,100,11.88255589,11.52328488,11.66502188,11.51564385,6.554997523,5.839184555,5.546660872,5.084733102,320.594499,295.9638333,284.843437
