S. No.,Name of State Road Transport Undertaking (SRTU),Revenue/Km(Paise) - 2018-19,Revenue/Km(Paise) - 2017-18,Revenue/Km(Paise) - 2016-17,Revenue/Bus/Day (Rs.) - 2018-19,Revenue/Bus/Day (Rs.) - 2017-18,Revenue/Bus/Day (Rs.) - 2016-17,Cost/KM (paise) - 2018-19,Cost/KM (paise) - 2017-18,Cost/KM (paise) - 2016-17,Cost/Bus/Day (Rs.) - 2018-19,Cost/Bus/Day (Rs.) - 2017-18,Cost/Bus/Day (Rs.) - 2016-17,Profit/Loss per Km (Paise) - 2018-19,Profit/Loss per Km (Paise) - 2017-18,Profit/Loss per Km (Paise) - 2016-17,Profit/Loss per Bus/Day (Rs.) - 2018-19,Profit/Loss per Bus/Day (Rs.) - 2017-18,Profit/Loss per Bus/Day (Rs.) - 2016-17,Staff Cost as % of Total Cost - 2018-19,Staff Cost as % of Total Cost - 2017-18,Staff Cost as % of Total Cost - 2016-17,Fuel and Lubricant Cost as % of Total Cost - 2018-19,Fuel and Lubricant Cost as % of Total Cost - 2017-18,Fuel and Lubricant Cost as % of Total Cost - 2016-17,Tyres and Tubes Cost as % of Total Cost - 2018-19,Tyres and Tubes Cost as % of Total Cost - 2017-18,Tyres and Tubes Cost as % of Total Cost - 2016-17,Spares Cost as % of Total Cost - 2018-19,Spares Cost as % of Total Cost - 2017-18,Spares Cost as % of Total Cost - 2016-17,Interest Cost as % of Total Cost - 2018-19,Interest Cost as % of Total Cost - 2017-18,Interest Cost as % of Total Cost - 2016-17,Depreciation Cost as % of Total Cost - 2018-19,Depreciation Cost as % of Total Cost - 2017-18,Depreciation Cost as % of Total Cost - 2016-17,Payments to Hired Buses as % of Total Cost - 2018-19,Payments to Hired Buses as % of Total Cost - 2017-18,Payments to Hired Buses as % of Total Cost - 2016-17,Payment for accidents compensation as % of Total Cost - 2018-19,Payment for accidents compensation as % of Total Cost - 2017-18,Payment for accidents compensation as % of Total Cost - 2016-17,Tax Cost as % of Total Cost - 2018-19,Tax Cost as % of Total Cost - 2017-18,Tax Cost as % of Total Cost - 2016-17,Other Costs as % of Total Cost - 2018-19,Other Costs as % of Total Cost - 2017-18,Other Costs as % of Total Cost - 2016-17,Staff Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2018-19,Staff Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2017-18,Staff Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Fuel and Lubricant Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2018-19,Fuel and Lubricant Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2017-18,Fuel and Lubricant Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Tyres and Tubes Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2018-19,Tyres and Tubes Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2017-18,Tyres and Tubes Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Spares Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2018-19,Spares Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2017-18,Spares Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Interest Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2018-19,Interest Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2017-18,Interest Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Depreciation Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2018-19,Depreciation Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2017-18,Depreciation Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Payments to Hired Buses per Revenue Earning Km ((Rs./Rev. Earning Kms) - 2018-19,Payments to Hired Buses per Revenue Earning Km (Rs./Rev. Earning Kms) - 2017-18,Payments to Hired Buses per Revenue Earning Km (Rs./Rev. Earning Kms) - 2016-17,Payment for accidents compensation per Revenue Earning Km(Rs./Rev. Earning Kms) - 2018-19,Payment for accidents compensation per Revenue Earning Km(Rs./Rev. Earning Kms) - 2017-18,Payment for accidents compensation per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Tax Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2018-19,Tax Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2017-18,Tax Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Other Costs per Revenue Earning Km(Rs./Rev. Earning Kms) - 2018-19,Other Costs per Revenue Earning Km(Rs./Rev. Earning Kms) - 2017-18,Other Costs per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17
11,Maharashtra SRTC(P),91.96,81.32,78.78,11836.13,10528.83,10332.66,102.71,92.99,3678.35,13219.66,12039.21,11128.62,-465.78,-505.60,-263.09,-1383.53,-1510.38,-795.96,41.77,46.23,42.39,33.50,31.19,32.79,1.76,1.66,1.94,1.57,1.41,1.34,0.02,0.06,0.03,3.03,2.97,4.28,1.18,0.28,0.15,1.82,1.08,1.04,12.75,12.87,13.26,2.61,2.26,27.95,18.59,18.63,15.59,14.91,12.57,12.06,0.78,0.67,0.71,0.70,0.57,0.49,0.01,0.02,0.01,1.35,1.20,1.58,0.52,0.11,0.05,0.81,0.43,0.38,5.68,5.19,4.88,1.16,0.91,1.02
12,Meghalaya STC,5443.72,4764.48,4595.99,5948.89,5120.77,6942.41,7197.74,7684.91,5105.16,7865.67,8259.60,7711.54,-1754.01,-2920.43,-509.17,-1916.78,-3138.83,-769.13,63.88,61.23,65.86,21.80,17.73,20.29,1.85,1.36,1.05,3.43,2.23,1.66,0.00,0.00,0.00,6.18,5.06,5.13,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.49,0.43,2.36,11.91,2.78,45.98,47.05,33.62,15.69,13.62,10.36,1.33,1.04,0.54,2.47,1.71,0.85,0.00,0.00,0.00,4.45,3.89,2.62,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.38,0.22,1.70,9.15,2.85
13,North Bengal STC,2638.27,2449.06,2330.35,5215.52,4677.11,4548.95,5241.99,5148.59,4958.67,10362.75,9832.57,9679.56,-2603.72,-2699.53,-2628.32,-5147.22,-5155.46,-5130.61,50.61,53.47,55.00,32.72,29.29,27.89,1.39,1.55,1.74,2.68,2.94,2.67,4.40,4.83,5.29,1.78,1.95,2.14,0.02,0.03,0.00,0.24,0.28,0.40,0.24,0.09,0.05,5.93,5.57,5.58,26.53,27.53,27.27,17.15,15.08,13.83,0.73,0.80,0.86,1.40,1.51,1.32,2.30,2.49,2.62,0.93,1.01,1.06,0.01,0.02,0.00,0.13,0.14,0.20,0.13,0.05,0.03,3.11,2.87,2.39
14,North Eastern Karnataka RTC,3469.74,3240.87,3130.86,10244.56,9954.61,9493.62,3601.95,3306.87,3243.08,10634.92,10157.33,9833.90,-132.21,-66.00,-112.22,-390.36,-202.73,-340.27,46.90,48.48,47.77,35.74,34.30,34.86,1.67,2.02,2.45,1.31,1.61,2.13,0.48,0.29,0.44,5.94,4.61,3.75,0.00,0.00,0.00,0.85,0.96,1.00,4.19,4.44,4.41,2.92,3.28,4.82,16.89,16.03,15.49,12.87,11.34,11.31,0.60,0.67,0.79,0.47,0.53,0.69,0.17,0.10,0.14,2.14,1.52,1.22,0.00,0.00,0.00,0.31,0.32,0.32,1.51,1.47,1.43,1.05,1.09,1.04
15,North Western Karnataka RTC,3442.35,3117.60,2972.92,11132.20,10326.99,9929.72,3593.56,3236.67,3177.16,11621.20,10721.42,10611.87,-151.21,-119.07,-204.23,-489.00,-394.43,-682.15,46.14,47.48,45.34,36.70,35.03,35.22,1.55,1.62,1.79,1.50,1.69,1.84,0.49,0.58,0.94,4.32,4.34,4.80,0.00,0.00,0.00,0.66,0.52,1.04,4.12,4.17,3.95,4.52,4.55,3.19,16.58,15.37,14.40,13.19,11.34,11.19,0.56,0.53,0.57,0.54,0.55,0.59,0.17,0.19,0.30,1.55,1.41,1.52,0.00,0.00,0.00,0.24,0.17,0.33,1.48,1.35,1.25,1.63,1.47,1.61
16,Odisha SRTC,3413.06,3090.79,2925.94,7288.14,6544.58,5984.73,3355.84,3012.25,2851.22,7165.96,6378.27,5831.90,57.22,78.54,74.72,122.19,166.31,152.83,26.32,26.49,27.83,50.41,48.25,46.74,2.45,2.92,4.03,2.38,2.72,2.95,0.00,1.08,1.15,7.72,6.99,6.81,0.00,0.00,0.00,0.00,0.00,0.00,6.75,6.58,5.97,3.97,4.96,5.08,8.83,7.98,7.94,16.92,14.53,13.33,0.82,0.88,1.15,0.80,0.82,0.84,0.00,0.32,0.33,2.59,2.11,1.94,0.00,0.00,0.00,0.00,0.00,0.00,2.27,1.98,1.70,1.33,1.50,1.29
17,Pepsu RTC,4703.29,4366.62,4008.43,17320.43,14238.77,12966.89,4073.42,4100.60,4150.32,15000.85,13371.36,13425.90,629.87,266.01,-141.89,2319.58,867.42,-459.00,32.89,36.60,40.80,33.10,29.74,26.87,0.67,0.77,1.12,0.83,1.73,0.92,0.00,0.00,0.00,2.15,2.54,2.14,6.32,5.82,7.31,1.16,1.63,0.72,10.04,11.30,15.58,12.84,9.87,4.52,13.40,15.01,16.93,13.48,12.19,11.15,0.27,0.31,0.46,0.34,0.71,0.38,0.00,0.00,0.00,0.88,1.04,0.89,2.57,2.39,3.04,0.47,0.67,0.30,4.09,4.63,6.47,5.23,4.05,1.88
18,Rajasthan SRTC,3976.69,3546.37,3051.93,11188.74,11038.21,10481.58,4116.31,3732.41,6696.47,11581.59,11617.27,22998.42,-139.63,-186.04,-3644.54,-392.85,-579.06,-12516.84,41.34,43.24,68.46,22.45,22.54,14.27,1.10,0.96,0.53,1.33,1.09,0.85,3.43,3.50,2.24,2.46,2.73,1.62,15.00,12.46,3.01,1.68,0.00,0.00,6.68,11.42,5.59,4.51,2.05,4.54,17.02,16.14,45.85,9.24,8.41,9.55,0.45,0.36,0.36,0.55,0.41,0.57,1.41,1.31,1.50,1.01,1.02,1.08,6.18,4.65,2.01,0.69,0.00,0.00,2.75,4.26,3.74,1.86,0.76,2.30
19,South Bengal STC,3840.50,4050.43,3982.03,7610.24,7342.33,7133.65,5301.96,5197.03,5071.20,10506.21,9420.80,9084.86,-1461.45,-1146.59,-1089.17,-2895.98,-2078.46,-1951.20,30.02,33.83,35.50,31.65,27.52,27.52,1.16,1.78,2.13,2.89,3.27,2.69,12.36,13.62,13.40,4.51,4.54,4.46,0.00,0.00,0.00,0.09,0.05,0.22,3.60,3.45,3.46,13.72,11.94,3.43,15.92,17.58,18.00,16.78,14.30,13.96,0.61,0.93,1.08,1.53,1.70,1.36,6.55,7.08,6.79,2.39,2.36,2.26,0.00,0.00,0.00,0.05,0.03,0.11,1.91,1.79,1.76,7.28,6.20,5.38
20,Telangana SRTC,3758.37,3514.58,3375.24,12858.54,12031.15,11300.12,4467.90,4082.24,3963.97,15286.06,13974.35,13271.14,-709.53,-567.66,-588.73,-2427.52,-1943.21,-1971.02,39.91,40.91,43.10,23.66,22.12,21.21,1.02,0.91,1.13,2.34,2.59,2.73,3.18,3.13,2.71,2.92,2.81,2.21,10.66,10.67,10.69,0.74,0.90,0.75,5.63,5.72,5.38,9.93,10.24,10.62,17.83,16.70,17.08,10.57,9.03,8.41,0.46,0.37,0.45,1.05,1.06,1.08,1.42,1.28,1.08,1.31,1.15,0.88,4.76,4.36,4.24,0.33,0.37,0.30,2.52,2.33,2.13,4.44,4.18,4.00
21,Tripura RTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,NA,NA,1075.34,906.85,865.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,Uttar Pradesh SRTC (P),3173.96,2988.33,2935.09,10611.56,10069.07,10083.31,3146.47,2906.18,2863.19,10519.65,9792.25,9836.29,27.49,82.16,71.90,91.90,276.82,247.02,35.59,33.08,35.84,28.55,28.93,27.01,1.48,1.34,1.35,2.69,2.41,2.40,0.00,0.23,0.30,3.87,4.91,4.45,15.50,15.84,16.07,0.00,0.00,0.00,11.25,11.60,11.54,1.07,1.66,1.03,11.20,9.61,10.26,8.98,8.41,7.73,0.47,0.39,0.39,0.85,0.70,0.69,0.00,0.07,0.09,1.22,1.43,1.27,4.88,4.60,4.60,0.00,0.00,0.00,3.54,3.37,3.30,0.34,0.48,0.30
23,Uttarakhand  TC,3935.03,3600.82,3549.08,11588.74,11808.02,10934.26,4175.46,3749.08,3687.64,12296.81,12294.22,11361.14,-240.43,-148.26,-138.56,-708.06,-486.19,-426.88,41.97,41.58,42.87,34.27,33.29,30.64,1.56,1.51,1.60,1.50,1.41,1.98,0.00,0.00,0.00,4.02,5.96,4.40,8.43,7.71,8.54,0.00,0.00,0.00,5.15,5.55,5.36,3.11,3.01,4.61,17.52,15.59,15.81,14.31,12.48,11.30,0.65,0.56,0.59,0.63,0.53,0.73,0.00,0.00,0.00,1.68,2.23,1.62,3.52,2.89,3.15,0.00,0.00,0.00,2.15,2.08,1.98,1.30,1.13,1.70
24,West Bengal Surface Transport Corp.,11551.77,14058.01,11863.23,7518.90,9386.59,11381.57,15930.50,16150.89,15579.73,10368.95,10784.02,14947.17,-4378.72,-2092.88,-3716.49,-2850.05,-1397.43,-3565.60,40.41,46.58,48.94,44.88,39.66,36.96,0.66,0.84,0.89,1.86,1.69,1.78,0.00,0.00,0.00,12.19,11.23,11.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.38,75.23,76.25,71.50,64.05,57.58,1.05,1.35,1.38,2.96,2.73,2.78,0.00,0.00,0.00,19.41,18.14,17.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NA,TOTAL Corporations,3948.59,3618.11,3410.83,11706.46,10909.95,10345.93,4792.15,4557.93,4350.47,14207.40,13743.85,13196.09,-843.57,-939.82,-939.64,-2500.94,-2833.90,-2850.15,38.60,41.25,41.78,27.02,24.83,24.99,1.11,1.07,1.20,1.55,1.51,1.59,10.83,10.73,9.94,3.53,3.43,3.56,4.81,4.56,4.21,1.34,1.05,1.09,6.01,6.17,6.12,5.20,5.39,5.50,18.50,18.80,18.18,12.95,11.32,10.87,0.53,0.49,0.52,0.74,0.69,0.69,5.19,4.89,4.33,1.69,1.57,1.55,2.31,2.08,1.83,0.64,0.48,0.48,2.88,2.81,2.66,2.49,2.46,2.39
25,Kadamba TC Ltd.,5817.43,5525.10,5587.11,10048.32,8940.30,8634.96,6479.68,5884.41,5705.21,11192.20,9521.70,8817.49,-662.25,-359.31,-118.10,-1143.89,-581.40,-182.53,54.40,54.80,56.06,25.95,24.80,24.14,1.65,1.67,1.59,4.65,4.67,3.10,1.23,1.91,2.64,5.97,6.08,6.24,0.77,0.99,1.05,0.00,0.00,0.00,1.25,1.37,1.34,4.13,3.70,3.84,35.25,32.25,31.98,16.82,14.59,13.77,1.07,0.98,0.91,3.01,2.75,1.77,0.80,1.12,1.51,3.87,3.58,3.56,0.50,0.59,0.60,0.00,0.00,0.00,0.81,0.81,0.77,2.68,2.18,2.19
26,Metro TC (Chennai) Limited,4944.91,4327.67,4006.10,11419.74,9931.71,9554.83,7071.47,6593.86,5497.17,16330.79,15132.47,13111.13,-2126.56,-2266.19,-1491.07,-4911.06,-5200.76,-3556.30,61.58,62.76,61.00,22.08,20.13,22.02,1.05,1.01,1.21,2.17,2.47,2.54,7.94,7.07,6.02,1.03,1.58,2.28,0.00,0.00,0.00,1.18,0.99,2.19,0.46,0.56,0.60,2.52,3.41,2.15,43.54,41.38,33.53,15.61,13.28,12.11,0.74,0.67,0.66,1.54,1.63,1.39,5.62,4.67,3.31,0.73,1.04,1.25,0.00,0.00,0.00,0.84,0.66,1.20,0.32,0.37,0.33,1.78,2.25,1.18
